A Abreviation,Dog,H Abreviation,Matchup ID,Schedule Date,Schedule Playoff,Schedule Week,Stadium,Team Favorite Id,Team ID,Team's playing,Team_Season,Opponent Score,Schedule Season,Score Away,Score Home,Spread,Team Score
CLE,CLE,DEN,CLEDEN,12/14/2003,FALSE,15,Sports Authority Field at Mile High,DEN,CLE,CLE@DEN,2003_CLE,23,2003,20,23,11.5,20
TB,TB,CHI,CHITB,12/17/2006,FALSE,15,Soldier Field,CHI,CHI,TB@CHI,2006_CHI,31,2006,31,34,-13.5,34
TB,TB,CHI,CHITB,12/17/2006,FALSE,15,Soldier Field,CHI,TB,TB@CHI,2006_TB,34,2006,31,34,13.5,31
DET,DET,IND,DETIND,12/14/2008,FALSE,15,Lucas Oil Stadium,IND,DET,DET@IND,2008_DET,31,2008,21,31,17,21
DET,DET,IND,DETIND,12/14/2008,FALSE,15,Lucas Oil Stadium,IND,IND,DET@IND,2008_IND,21,2008,21,31,-17,31
GB,GB,NE,GBNE,12/19/2010,FALSE,15,Gillette Stadium,NE,GB,GB@NE,2010_GB,31,2010,27,31,14.5,27
GB,GB,NE,GBNE,12/19/2010,FALSE,15,Gillette Stadium,NE,NE,GB@NE,2010_NE,27,2010,27,31,-14.5,31
NYJ,NYJ,NO,NONYJ,12/17/2017,FALSE,15,Mercedes-Benz Superdome,NO,NO,NYJ@NO,2017_NO,19,2017,19,31,-16.5,31
NYJ,NYJ,NO,NONYJ,12/17/2017,FALSE,15,Mercedes-Benz Superdome,NO,NYJ,NYJ@NO,2017_NYJ,31,2017,19,31,16.5,19
ATL,ATL,SF,ATLSF,12/23/2013,FALSE,16,Candlestick Park,SF,ATL,ATL@SF,2013_ATL,34,2013,24,34,14.5,24
ATL,ATL,SF,ATLSF,12/23/2013,FALSE,16,Candlestick Park,SF,SF,ATL@SF,2013_SF,24,2013,24,34,-14.5,34
WAS,WAS,TEN,TENWAS,12/22/2018,FALSE,16,Nissan Stadium,TEN,TEN,WAS@TEN,2018_TEN,16,2018,16,25,-11.5,25
WAS,WAS,TEN,TENWAS,12/22/2018,FALSE,16,Nissan Stadium,TEN,WAS,WAS@TEN,2018_WAS,25,2018,16,25,11.5,16
MIA,MIA,BAL,BALMIA,1/2/2005,FALSE,17,M&T Bank Stadium,BAL,BAL,MIA@BAL,2004_BAL,23,2004,23,30,-11,30
MIA,MIA,BAL,BALMIA,1/2/2005,FALSE,17,M&T Bank Stadium,BAL,MIA,MIA@BAL,2004_MIA,30,2004,23,30,11,23
DET,DET,PIT,DETPIT,1/1/2006,FALSE,17,Heinz Field,PIT,DET,DET@PIT,2005_DET,35,2005,21,35,15.5,21
DET,DET,PIT,DETPIT,1/1/2006,FALSE,17,Heinz Field,PIT,PIT,DET@PIT,2005_PIT,21,2005,21,35,-15.5,35
